Type,ID,Username,Display,Creation,Image,Notes,Verified,Private
Nonstandard,437698597,womeng,Twitter Women Eng,Dec 2011,Twitter,,TRUE,FALSE
Nonstandard,791978718,OfficialPartner,Twitter Official Partner,Aug 2012,Twitter,Twitter Official Partner Program,TRUE,FALSE
Nonstandard,1225933934,AdsAPI,Twitter Ads API,Feb 2013,Twitter,,TRUE,FALSE
Nonstandard,1524832640,ArtHouse,ArtHouse,Jun 2013,Twitter,Twitter marketing for brands,TRUE,FALSE
Nonstandard,1665823832,University,Twitter University,Aug 2013,Twitter,Technical training,TRUE,FALSE
Nonstandard,2394839066,SupportRequests,Support Requests,Mar 2014,Twitter,,TRUE,FALSE
Nonstandard,2548985366,Blackbirds,Twitter Blackbirds,Jun 2014,Blackbirds,Black employees,TRUE,FALSE
Nonstandard,2549011969,NeighborNest,Twitter NeighborNest,Jun 2014,Twitter,Community Center,TRUE,FALSE
Nonstandard,1319036828964454402,birdwatch,Birdwatch,Oct 2020,birdwatch,,TRUE,FALSE
Nonstandard,1425859260248854535,SuperFollows,Super Follows,Aug 2021,SuperFollows,,TRUE,FALSE
Nonstandard,1433894099178774532,HiCommunities,Twitter Communities,Sep 2021,HiCommunities,,TRUE,FALSE
Office,172020392,TwitterSF,Twitter San Francisco,Jul 2010,Twitter,"Twitter HQ at San Francisco, CA",TRUE,FALSE
Office,212364827,TwitterChicago,Twitter Chicago,Nov 2010,Twitter,"Twitter HQ at Chicago, IL",TRUE,FALSE
Office,495309159,TwitterNYC,Twitter New York City,Feb 2012,Twitter,"Twitter HQ at New York, NY",TRUE,FALSE
Office,484495045,TwitterLA,Twitter Los Angeles,Feb 2012,Twitter,"Twitter HQ at Los Angeles, CA",TRUE,FALSE
Office,593893034,TwitterDC,Twitter DC,May 2012,Twitter,"Twitter HQ at Washington, DC",TRUE,FALSE
Office,707249550,TwitterATL,Twitter Atlanta,Jul 2012,Twitter,"Twitter HQ at Atlanta, GA",TRUE,FALSE
Office,1228433617,TwitterSeattle,Twitter Seattle,Feb 2013,Twitter,"Twitter HQ at Seattle, WA",TRUE,FALSE
Office,1173514177,TwitterBoston,Twitter Boston,Feb 2013,Twitter,"Twitter HQ at Boston, MA",TRUE,FALSE
Office,2249227634,TwitterBoulder,Twitter Boulder,Dec 2013,Twitter,"Twitter HQ at Boulder, CO",TRUE,FALSE
Office,717462990983856129,TwitterParis,Twitter Paris,Apr 2016,TwitterFrance,Twitter HQ at Paris,TRUE,FALSE
Office,717463776170119169,TwitterDetroit,Twitter Detroit,Apr 2016,Twitter,"Twitter HQ at Detroit, MI",TRUE,FALSE
Office,1049385226424786944,TwitterMiami,Twitter Miami,Oct 2018,Twitter,"Twitter HQ at Miami, FL",TRUE,FALSE
Regional,818212956,TwitterAU,Twitter Australia,Sep 2012,TwitterAU,Australia,TRUE,FALSE
Regional,3015734250,TwitterMktgAU,Twitter Marketing AU,Feb 2015,TwitterAU,Australia (marketing),TRUE,FALSE
Regional,4588114813,MomentsAU,Twitter Moments Australia,Dec 2015,TwitterAU,Australia (moments),TRUE,FALSE
Regional,2249227194,TwitterSportsAU,Twitter Sports,Dec 2013,TwitterAU,Australia (sports),TRUE,FALSE
Regional,263884490,TwitterBrasil,Twitter Brasil,Mar 2011,TwitterBrasil,Brazil,TRUE,FALSE
Regional,2548977510,JoinTheFlockBR,Twitter Careers Brasil,Jun 2014,TwitterMktgBR,Brazil (job openings),TRUE,FALSE
Regional,2244997579,TwitterMktgBR,Twitter Marketing BR,Dec 2013,TwitterMktgBR,Brazil (marketing),TRUE,FALSE
Regional,4172587277,MomentsBrasil,Twitter Moments Brasil,Nov 2015,TwitterMktgBR,Brazil (moments),TRUE,FALSE
Regional,1454207077740474370,TwitterSeguroBR,Twitter Seguro 🇧🇷,Oct 2021,Twitter,Brazil (safety),TRUE,FALSE
Regional,1347713256,TwitterCanada,Twitter Canada,Apr 2013,TwitterCanada,Canada,TRUE,FALSE
Regional,3873984133,CanadaMoments,Twitter Moments Canada,Oct 2015,CanadaMoments,Canada (moments),TRUE,FALSE
Regional,627222883,JoinTheFlockEU,Join The Flock EMEA,Jul 2012,Twitter,Europe (job openings),TRUE,FALSE
Regional,90556897,TwitterFrance,Twitter France,Nov 2009,TwitterFrance,France,TRUE,FALSE
Regional,1639309946,TwitterMktgFR,Twitter Marketing FR,Aug 2013,TwitterFrance,France (marketing),TRUE,FALSE
Regional,3015789727,TwitterMediaFR,Twitter Media France,Feb 2015,TwitterMediaFR,France (media),FALSE,FALSE
Regional,95255169,TwitterDE,Twitter Deutschland,Dec 2009,TwitterDE,Germany,TRUE,FALSE
Regional,2551000952,TwitterMktgDACH,Twitter Marketing DACH,Jun 2014,TwitterMktgDACH,Germany + Austria + Switzerland (marketing),TRUE,FALSE
Regional,1471591070991470593,TwitterGhana,Twitter Ghana,Dec 2021,TwitterGhana,Ghana,TRUE,FALSE
Regional,103770785,TwitterIndia,Twitter India,Jan 2010,TwitterIndia,India,TRUE,FALSE
Regional,1544443531,twi,@twi,Jun 2013,twi,India (former account),FALSE,FALSE
Regional,3282860300,TwitterMktgIN,Twitter Marketing IN,Jul 2015,TwitterMktgIN,India (marketing),TRUE,FALSE
Regional,738115375477362688,MomentsIndia,Twitter Moments India,Jun 2016,TwitterIndia,India (moments),TRUE,FALSE
Regional,717465714357972992,TwitterVideoIN,Twitter Video India,Apr 2016,TwitterIndia,India (video),TRUE,FALSE
Regional,2550997820,TwitterID,Twitter Indonesia,Jun 2014,TwitterID,Indonesia,TRUE,FALSE
Regional,3260517252,TwitterMktgID,Twitter Marketing ID,Jun 2015,TwitterID,Indonesia (marketing),TRUE,FALSE
Regional,1533573656,TwitterDublin,Twitter Dublin,Jun 2013,TwitterDublin,Ireland,TRUE,FALSE
Regional,1440375285573054478,TwitterMktgIL,Twitter Marketing Israel,Sep 2021,TwitterMktgIL,Israel (marketing),TRUE,FALSE
Regional,7080152,TwitterJP,Twitter Japan,Jun 2007,TwitterJP,Japan,TRUE,FALSE
Regional,2551015628,TwitterBizJP,Twitterビジネス,Jun 2014,TwitterJP,Japan (business),TRUE,FALSE
Regional,70915829,TwitterDevJP,Twitter Dev Japan,Sep 2009,TwitterJP,Japan (dev),TRUE,FALSE
Regional,2244981348,TwitterLifeline,Twitterライフライン,Dec 2013,Twitter,Japan (disasters),TRUE,FALSE
Regional,2861317614,TwitterFashnJP,Twitter ファッション,Oct 2014,TwitterJP,Japan (fashion),TRUE,FALSE
Regional,1705676064,JoinTheFlockJP,Twitter公式採用アカウント,Aug 2013,TwitterJP,Japan (job openings),TRUE,FALSE
Regional,632708673,TwitterMktgJP,Twitter マーケティング,Jul 2012,TwitterJP,Japan (marketing),TRUE,FALSE
Regional,1462327554,TwitterMediaJP,Twitter メディア,May 2013,TwitterJP,Japan (media),TRUE,FALSE
Regional,3896350692,MomentsJapan,Twitter モーメント,Oct 2015,TwitterJP,Japan (moments),TRUE,FALSE
Regional,862314223,TwitterMusicJP,Twitter ミュージック,Oct 2012,TwitterJP,Japan (music),TRUE,FALSE
Regional,1159422488,TwitterNewsJP,Twitter ニュース,Feb 2013,TwitterJP,Japan (news),TRUE,FALSE
Regional,1159458169,TwitterGovJP,Twitter 政治,Feb 2013,TwitterJP,Japan (politics),TRUE,FALSE
Regional,1159274324,TwitterSportsJP,Twitter スポーツ,Feb 2013,TwitterJP,Japan (sports),TRUE,FALSE
Regional,216531294,TwitterKorea,Twitter 트위터코리아,Nov 2010,TwitterKorea,Korea,TRUE,FALSE
Regional,1636762128,TwitterMktgKR,Twitter Marketing Korea 트위터 마케팅,Jul 2013,TwitterKorea,Korea (marketing),TRUE,FALSE
Regional,85426644,TwitterLatAm,Twitter Latin America,Oct 2009,TwitterLatAm,Latin America,TRUE,FALSE
Regional,2551000568,TwitterMktLatam,Twitter Mktg Latam,Jun 2014,TwitterLatAm,Latin America (marketing),TRUE,FALSE
Regional,1004367799588880384,TwitterMexico,Twitter México,Jun 2018,TwitterMexico,Mexico,TRUE,FALSE
Regional,2228891959,TwitterMENA,Twitter MENA,Dec 2013,TwitterMENA,Middle East and North Africa,TRUE,FALSE
Regional,766296039036948480,momentsmena,Moments MENA,Aug 2016,momentsmena,Middle East and North Africa (moments),TRUE,FALSE
Regional,3873867072,TwitterPH,Twitter Philippines,Oct 2015,TwitterPH,Philippines,TRUE,FALSE
Regional,2244983430,TwitterSG,Twitter Singapore,Dec 2013,TwitterSG,Singapore,TRUE,FALSE
Regional,3282898525,TwitterMktgSG,Twitter Marketing SG,Jul 2015,TwitterSG,Singapore (marketing),TRUE,FALSE
Regional,1347756012,TwitterEspana,Twitter España,Apr 2013,Twitter,Spain (previously @TwitterSpain),TRUE,FALSE
Regional,715097393621032960,TweetEventos,TweetEventos,Mar 2016,TweetEventos,Spain (events),FALSE,FALSE
Regional,1640990204,TwitterMktgES,Twitter Marketing ES,Aug 2013,Twitter,Spain (marketing),TRUE,FALSE
Regional,3873965293,MomentsES,Twitter Moments en Español,Oct 2015,Twitter,Spain (moments),TRUE,FALSE
Regional,88723966,TwitterSeguro,Twitter Seguro,Nov 2009,Twitter,Spain (safety),TRUE,FALSE
Regional,1244731491088809984,TwitterThailand,Twitter Thailand,Mar 2020,TwitterThailand,Thailand,TRUE,FALSE
Regional,348674206,TwitterTurkiye,Twitter Türkiye,Aug 2011,TwitterTurkiye,Turkey,TRUE,FALSE
Regional,277761722,TwitterUK,Twitter UK,Apr 2011,TwitterUK,United Kingdom,TRUE,FALSE
Regional,1077914569,TwitterMktgUK,Twitter Marketing UK,Jan 2013,TwitterUK,United Kingdom (marketing),TRUE,FALSE
Regional,2178322212,insiders_uk,Twitter Insiders UK,Nov 2013,TwitterUK,United Kingdom (research community),TRUE,FALSE
Regional,2296297326,UKMoments,Twitter Moments UK & Ireland,Jan 2014,TwitterUK,United Kingdom + Ireland (moments),TRUE,FALSE
Company,14803701,TweetDeck,TweetDeck,May 2008,Twitter,TweetDeck (acquired in 2011),TRUE,FALSE
